Resulting imbalance:1.02788
cutsize/#vertices:0.696111
Cutsize:7715
----------------------------
Part Weights:
0 :176
1 :168
2 :178
3 :169
4 :175
5 :168
6 :168
7 :168
8 :172
9 :177
10 :173
11 :178
12 :172
13 :172
14 :171
15 :170
16 :178
17 :177
18 :171
19 :172
20 :175
21 :168
22 :168
23 :173
24 :177
25 :178
26 :169
27 :178
28 :176
29 :175
30 :173
31 :178
32 :178
33 :176
34 :178
35 :175
36 :177
37 :177
38 :168
39 :168
40 :178
41 :176
42 :175
43 :168
44 :168
45 :171
46 :168
47 :169
48 :178
49 :176
50 :168
51 :170
52 :168
53 :168
54 :178
55 :172
56 :168
57 :176
58 :175
59 :176
60 :177
61 :178
62 :176
63 :168
