Resulting imbalance:1.02858
cutsize/#vertices:4.0905
Cutsize:37923
----------------------------
Part Weights:
0 :149
1 :140
2 :149
3 :140
4 :139
5 :141
6 :149
7 :149
8 :149
9 :139
10 :140
11 :146
12 :140
13 :148
14 :149
15 :137
16 :149
17 :149
18 :149
19 :149
20 :149
21 :149
22 :149
23 :144
24 :139
25 :138
26 :139
27 :138
28 :140
29 :138
30 :141
31 :136
32 :149
33 :144
34 :140
35 :139
36 :149
37 :142
38 :149
39 :149
40 :144
41 :140
42 :149
43 :149
44 :148
45 :148
46 :140
47 :149
48 :149
49 :149
50 :139
51 :149
52 :149
53 :144
54 :139
55 :149
56 :149
57 :140
58 :144
59 :149
60 :149
61 :149
62 :149
63 :147
