Resulting imbalance:1.02816
cutsize/#vertices:0.417858
Cutsize:12537
----------------------------
Part Weights:
0 :474
1 :459
2 :477
3 :462
4 :474
5 :470
6 :482
7 :471
8 :474
9 :468
10 :471
11 :468
12 :474
13 :474
14 :469
15 :465
16 :468
17 :471
18 :465
19 :474
20 :477
21 :471
22 :465
23 :465
24 :465
25 :471
26 :471
27 :471
28 :473
29 :471
30 :474
31 :471
32 :469
33 :465
34 :471
35 :465
36 :462
37 :459
38 :480
39 :468
40 :468
41 :471
42 :474
43 :465
44 :459
45 :459
46 :477
47 :468
48 :468
49 :468
50 :471
51 :465
52 :474
53 :474
54 :459
55 :465
56 :468
57 :471
58 :465
59 :468
60 :468
61 :457
62 :471
63 :456
