Resulting imbalance:1.02816
cutsize/#vertices:0.220831
Cutsize:7849
----------------------------
Part Weights:
0 :552
1 :546
2 :557
3 :551
4 :551
5 :554
6 :553
7 :555
8 :555
9 :557
10 :561
11 :553
12 :555
13 :554
14 :552
15 :558
16 :562
17 :563
18 :569
19 :561
20 :558
21 :552
22 :550
23 :557
24 :549
25 :557
26 :552
27 :554
28 :568
29 :571
30 :556
31 :556
32 :553
33 :555
34 :562
35 :552
36 :555
37 :559
38 :553
39 :545
40 :544
41 :556
42 :550
43 :549
44 :554
45 :545
46 :556
47 :560
48 :547
49 :556
50 :549
51 :550
52 :561
53 :558
54 :554
55 :548
56 :567
57 :554
58 :557
59 :563
60 :552
61 :566
62 :559
63 :555
