Resulting imbalance:1.02831
cutsize/#vertices:0.136702
Cutsize:2110
----------------------------
Part Weights:
0 :248
1 :248
2 :236
3 :241
4 :244
5 :239
6 :235
7 :248
8 :237
9 :248
10 :248
11 :248
12 :248
13 :240
14 :237
15 :242
16 :237
17 :248
18 :243
19 :248
20 :243
21 :240
22 :234
23 :234
24 :234
25 :247
26 :245
27 :245
28 :248
29 :248
30 :236
31 :236
32 :248
33 :240
34 :238
35 :242
36 :246
37 :235
38 :240
39 :234
40 :247
41 :236
42 :246
43 :234
44 :235
45 :244
46 :243
47 :233
48 :241
49 :243
50 :238
51 :234
52 :242
53 :238
54 :241
55 :248
56 :242
57 :236
58 :247
59 :242
60 :233
61 :234
62 :248
63 :234
