Resulting imbalance:1.02972
cutsize/#vertices:0.0406079
Cutsize:1638
----------------------------
Part Weights:
0 :627
1 :648
2 :610
3 :617
4 :649
5 :645
6 :625
7 :625
8 :626
9 :620
10 :645
11 :615
12 :634
13 :637
14 :647
15 :633
16 :627
17 :645
18 :646
19 :632
20 :632
21 :612
22 :646
23 :649
24 :624
25 :614
26 :612
27 :641
28 :629
29 :623
30 :620
31 :612
32 :648
33 :625
34 :637
35 :634
36 :622
37 :628
38 :645
39 :633
40 :613
41 :616
42 :645
43 :615
44 :617
45 :629
46 :641
47 :647
48 :628
49 :613
50 :620
51 :630
52 :619
53 :613
54 :619
55 :613
56 :647
57 :639
58 :617
59 :649
60 :642
61 :632
62 :646
63 :648
